,date,min_temp,mean_temp,max_temp,precipitation,liquid_outflow,qsim,snowwater,thermal
2303,2001-11-20,-3.739999999999952,-1.0199999999999818,1.830000000000041,0.0,0.0,0.0,3.126774994632324,-0.7856249999999783
2304,2001-11-21,-4.13,-1.099999999999966,2.87,0.0,0.0,0.0,3.126774994632324,-1.021406249999969
2305,2001-11-22,-2.579999999999984,-0.169999999999959,0.8799999999999955,13.48,0.4714752148990231,3.428439306358385,13.17833568827394,-0.3828515624999615
2306,2001-11-23,-3.37,-1.2899999999999636,1.0400000000000205,3.23,0.1372340657671248,0.7617233560090817,15.646612332264858,-1.0632128906249632
2307,2001-11-24,-2.62,0.5600000000000023,1.580000000000041,0.67,0.0741847579506734,0.6955267844222743,15.621085547842586,0.0
2308,2001-11-25,1.6100000000000136,4.020000000000039,6.78000000000003,1.43,3.44600229752345,4.567166857011208,12.483918690831379,0.0
2309,2001-11-26,3.3600000000000136,4.390000000000043,6.090000000000032,6.53,9.282928556593172,8.862473066279803,10.151445624551577,0.0
2310,2001-11-27,-2.2199999999999704,0.8500000000000227,3.5400000000000205,8.22,3.303376301868501,5.664312571690468,12.707133052861112,0.0
2311,2001-11-28,-0.6399999999999864,1.6400000000000432,3.07000000000005,9.71,4.9641878344265145,9.261940156663918,13.155192896197196,0.0
2312,2001-11-29,-1.0699999999999932,3.2800000000000296,5.07000000000005,24.82,17.669197378783274,23.213034352685177,14.762158543512019,0.0
2313,2001-11-30,5.170000000000016,7.050000000000011,7.720000000000027,22.1,29.262219500147705,25.092077901674067,11.770080641837954,0.0
2314,2001-12-01,5.590000000000032,6.78000000000003,8.19,0.7,5.052850695928981,2.8406569550441,9.629423686793853,0.0
2315,2001-12-02,4.170000000000016,6.160000000000025,8.410000000000025,0.0,3.4389100924762195,1.6079435953090013,8.021480091484852,0.0
2316,2001-12-03,4.31,6.720000000000027,9.29000000000002,0.0,3.3231146996841074,1.2497262541277812,6.771753837357071,0.0
2317,2001-12-04,5.080000000000041,6.4500000000000455,8.480000000000018,5.54,8.893004930782087,6.536154517361082,5.77559931999599,0.0
2318,2001-12-05,5.31,6.930000000000007,7.740000000000009,8.29,11.83997147186381,9.099595233209405,4.966004086786585,0.0
2319,2001-12-06,1.3400000000000318,4.53000000000003,7.850000000000023,0.0,1.5258522303759054,0.66814384058321,4.297860246203375,0.0
2320,2001-12-07,-2.0,1.7600000000000475,7.600000000000023,0.0,0.2887287010422895,0.5582746041452487,3.7395856420581266,0.0
2321,2001-12-08,-4.5499999999999545,-1.1499999999999773,4.740000000000009,0.0,0.0,0.0,3.7395856420581266,-0.862499999999983
2322,2001-12-09,-4.669999999999959,-2.319999999999993,1.4700000000000273,0.0,0.0,0.0,3.7395856420581266,-1.9556249999999906
